,en,ru
New Game,New Game,Новая Игра
Load Save,Load Save,Загрузить
Settings,Settings,Настройки
Credits,Credits,Авторы
Exit,Exit,Выйти
REFLECTION,REFLECTION,РЕФЛЕКСИЯ
Volume,Volume,Громкость
Controls,Controls,Управленние
Language,Language,Язык
Back,Back,Назад
Delete,Delete,Удалить
Start Game,Start Game,Начать Игру
Credits,Credits,О разработке
SOCIALS_TEXT,"My Socials:\n\n\nIf you want to donate to me:","Мои соц. сети:\n\n\nЕсли хотите поддержать:"
ASSETS_TEXT_LINKS,"Visual Effects:\nMusic:\nFont:","Визуальные эффекты:\nМузыка:\nШрифт:"
-About me-,-About me-,-Обо мне-
-Assets-,-Assets-,-Ресурсы-
Confirm,Confirm,Подтвердить
Continue,Continue,Продолжить
Abandon Run,Abandon Run,Сдаться
Index,Index,Указатель
Difficulty,Difficuty,Сложность
Easy,Easy,Легкая
easy,easy,легкая
Normal,Normal,Средняя
normal,normal,средняя
Hard,Hard,Сложная
hard,hard,сложная
Start,Start,Начать
(Empty Save Slot),(Empty Save Slot),(Пустой Слот Сохранения)
Save Slots,Save Slots,Слоты Сохранения
(Empty),(Empty),(Пусто)
Slot 1,Slot 1,Слот 1
Slot 2,Slot 2,Слот 2
Slot 3,Slot 3,Слот 3
Global Volume,Global Volume,Общая Громкость
Sound Effects Volume,Sound Effects Volume,Громкость Эффектов
Music Volume,Music Volume,Громкость Музыки
Glitches:,Glitches:,Гличи:
"Difficulty: ","Difficulty: ","Сложность: "
"Runs: ","Runs: ","Забеги: "
"Tapes: ","Tapes: ","Кинолента: "
"Press Space to continue","Press Space to continue","Нажмите Пробел, чтобы продолжить"
DISCLAIMER,DISCLAIMER,ДИСКЛЕЙМЕР
DISCLAIMER_TEXT,"This game contains flashing imagery and visual effects like glitches. If you are sensitive for exposure to this effects, you may turn glitches off in settings.\nIf you don't feel yourself good while playing, stop.\n\nAlso while playing don't forget to stay hydrated!","Данная игра содержит мигающией яркие изображения и визуальные эффекты, такие как гличи. Если вы восприимчивы к ним, вы можете отключить гличи в настройках.\nЕсли вы чувствуете себя плохо во время игры, то остановитесь.\n\nПомимо того, не забывайте пить воду во время игры!"
Cancel,Cancel,Отмена
Close,Close,Закрыть
Target,Target,Прицеливание
Info,Info,Подробнее
Accept,Accept,Принять
Choose,Choose,Выбрать
Choose This Item,Choose This Item,Выбрать Этот Предмет
Skip,Skip,Пропустить
History,History,История
Think,Think,Мысли
Start Items,Start Items,Предметы
Begin Escape,Begin Escape,Начать Побег
Salim,Salim,Салим
Asiyat,Asiyat,Асият
Maksud,Maksud,Максуд
Observer,Observer,Наблюдатель
Host,Host,Заведующий
Guard,Guard,Страж
Gatekeeper,Gatekeeper,Привратник
Orange,Orange,Оранжевый
Green,Green,Зеленый
Red,Red,Красный
Blue,Blue,Синий
Purple,Purple,Фиолетовый
PurpSk,Purple,Фиол.
Yellow,Yellow,Желтый
Orange Skill,Orange Skill,Оранжевый Навык
Green Skill,Green Skill,Зеленый Навык
Red Skill,Red Skill,Красный Навык
Blue Skill,Blue Skill,Синий Навык
Purple Skill,Purple Skill,Фиолетовый Навык
Yellow Skill,Yellow Skill,Желтый Навык
White Skill,White Skill,Белый Навык
Get Prepared,Get Prepared,Приготовьтесь
Start Run,Start Run,Начать
Choose Skills,Choose Skills,Выберите Навыки
Skill Name,Skill Name,Имя Навыка
Skill Description,Skill Description,Описание Навыка
No Skills Avialable,No Skills Avialable,Нет Доступных Навыков
No Skill,No Skill,Без Навыка
